time,theta1,omega1,theta2,omega2
0.0,1.5737061647634447,0.0,1.5730001384544896,0.0
0.02,1.5722084411952544,-0.1497724997792008,1.5730001339157687,-3.430610555054466e-07
0.04,1.5677152915572021,-0.2995397013601526,1.5730000750063333,-1.0046708907555852e-05
0.06,1.560227169745304,-0.449256865657536,1.5729992372840391,-9.778783632806258e-05
0.08,1.5497461498237575,-0.5988003266384726,1.5729944318886975,-0.00045093946252818126
0.1,1.5362778863862836,-0.7479293707467486,1.5729770570731008,-0.001432952843039705
0.12,1.5198343187112031,-0.8962508774399262,1.5729290288190734,-0.0036367233084977474
0.14,1.5004370185500737,-1.0431907106476723,1.5728177372630772,-0.007928076958920094
0.16,1.4781210064679802,-1.1879767189091717,1.5725902851742437,-0.015472224987053132
0.18,1.4529387346171623,-1.329639649525799,1.572167453714453,-0.027733744781661386
0.2,1.4249638266874765,-1.4670378443475176,1.5714380032467898,-0.046440983556376034
0.22,1.3942940629970715,-1.598908167205571,1.5702540837688648,-0.07351027710852291
0.24,1.3610530963258685,-1.7239403685954302,1.568428559425075,-0.1109324146413796
0.26,1.325390526979058,-1.8408649257021825,1.5657348806616376,-0.1606337254718157
0.28,1.2874802197514523,-1.948537744152854,1.5619098124746007,-0.22433387335402205
0.3,1.2475171098256153,-2.04600399129558,1.5566588307401195,-0.30342477059328615
0.32,1.2057130649766785,-2.132526536321942,1.54966354981026,-0.39889189723232477
0.34,1.1622925852525028,-2.2075739795831275,1.5405902058034768,-0.5112874811021335
0.36,1.1174891138424339,-2.2707732219520538,1.5290981763362257,-0.640752212090605
0.38,1.0715425438216108,-2.3218397120694823,1.5148476913827285,-0.7870714113969193
0.4,1.024698214482611,-2.3605008274482397,1.4975062221626074,-0.9497484094137345
0.42,0.9772073882155342,-2.386426548181961,1.47675336375532,-1.1280794859997005
0.44,0.9293289544762722,-2.3991772241146565,1.4522842910616214,-1.3212205099395509
0.46,0.881331962221327,-2.3981735026889965,1.4238119995503187,-1.5282417325341082
0.48,0.8334985160844727,-2.382690159700176,1.3910685625225188,-1.748171655766816
0.5,0.7861265560586335,-2.351873794047272,1.3538055958383732,-1.9800330412241511
