time,theta1,omega1,theta2,omega2
0.0,1.5707963267948966,0.0,1.5807963267948966,0.0
0.02,1.568834348206113,-0.19619560634232233,1.5807962844177115,-8.632206383477731e-06
0.04,1.5629487488440963,-0.3923522720361297,1.5807955150567252,-9.062215129820828e-05
0.06,1.55314117067883,-0.5883678359033642,1.5807910056214147,-0.0004277227587707097
0.08,1.5394164544573046,-0.7840144003324774,1.5807741264342043,-0.001417318638858372
0.1,1.5217857570031472,-0.9788786887635273,1.580725283740106,-0.003774898013249148
0.12,1.5002708027421958,-1.172309330369262,1.5806066199730155,-0.008625018895948085
0.14,1.4749090634981195,-1.3633781297078864,1.5803531048863655,-0.01756893678208591
0.16,1.4457594952380461,-1.5508649334319147,1.579862639538282,-0.032712533309057774
0.18,1.412908254273389,-1.7332761661953848,1.5789861517015928,-0.0566367704400922
0.2,1.3764736430979125,-1.9089040755958733,1.5775189788877955,-0.09229674191981953
0.22,1.3366094690494366,-2.0759254394426714,1.5751950059431945,-0.14284754424824564
0.24,1.2935061270326766,-2.2325261991559704,1.5716849107267419,-0.2114138399029289
0.26,1.2473891401568713,-2.3770270760726864,1.5665992813516403,-0.3008385352956388
0.28,1.1985154306199066,-2.507979405241104,1.5594965929242104,-0.413456937173736
0.3,1.1471681921938834,-2.6242061333537947,1.5498950888038998,-0.5509374511786987
0.32,1.0936515895218821,-2.7247781023605264,1.5372869811010887,-0.714210420910899
0.34,1.0382865181286225,-2.808934552401104,1.5211532061403439,-0.903481274542019
0.36,0.9814083259270227,-2.8759711651065674,1.500977259273337,-1.1183044166939702
0.38,0.9233668588241125,-2.9251243264193922,1.4762572011685113,-1.3576872311123167
0.4,0.8645286394960474,-2.955477214028353,1.4465155047887441,-1.620198630876827
0.42,0.8052805488836049,-2.965905600072606,1.4113068129094135,-1.9040682349471414
0.44,0.7460341119024148,-2.9550732982603525,1.37022383294759,-2.20727360318686
0.46,0.687229328675171,-2.9214815122138793,1.322901574933979,-2.5276199364768805
0.48,0.6293369761219716,-2.8635736447016966,1.2690200285724165,-2.8628166029778233
0.5,0.5728582328592947,-2.779898484848911,1.2083053581870882,-3.210547254497384
0.52,0.5183203951531361,-2.669340333675143,1.1405299023881008,-3.568513966853237
0.54,0.4662671539106386,-2.5314375506732385,1.0655119166597098,-3.934408230210198
0.56,0.41724127945872347,-2.3668338735364496,0.9831173175772387,-4.305720444662553
0.58,0.3717563122465732,-2.177942601487597,0.893268031563264,-4.679239907836866
0.6,0.3302518955863933,-1.9699399093890009,0.7959651510377029,-5.050034602374444
0.62,0.2930250260030577,-1.7521884266224543,0.6913395644276724,-5.409695793233915
0.64,0.26012913515262076,-1.5399676109655556,0.5797452167666585,-5.743891379577018
0.66,0.23124155063486831,-1.355675149183461,0.46190146551264943,-6.030179212899023
0.68,0.2055286000367443,-1.2274052182112933,0.33905604286875046,-6.2387274816281835
0.7000000000000001,0.1815878637825545,-1.1823525038558116,0.21307437184394276,-6.339402100475061
0.72,0.1575724524017566,-1.2359010045540462,0.08632214477912885,-6.3145395058592495
0.74,0.13151905231324926,-1.3837574547900722,-0.03869400915955233,-6.1683640713558585
0.76,0.10173493614654819,-1.60447681216479,-0.15975533326356328,-5.923824865668457
0.78,0.06704350656122822,-1.869776092049535,-0.27518775363244274,-5.610224572886235
0.8,0.026820111659177498,-2.1538759913961694,-0.3838730027970562,-5.252644766188246
0.8200000000000001,-0.019106909042331786,-2.437503875653587,-0.4851165339195186,-4.8682845020010825
0.84,-0.07059059908251436,-2.7078817690187194,-0.578496546079942,-4.467612283295977
0.86,-0.12728130955136835,-2.9572434535691055,-0.6637547402803918,-4.056935808506082
0.88,-0.18871115191753188,-3.1813025202989254,-0.740736431904384,-3.6406130895120117
0.9,-0.2543511457008306,-3.3780686161589313,-0.8093672025805596,-3.222492772625858
0.92,-0.32364801257587295,-3.5469766126086233,-0.8696516431234136,-2.80672194203657
0.9400000000000001,-0.39604563791833164,-3.6882038793077103,-0.9216839571986369,-2.398163817145543
0.96,-0.4709939267528778,-3.8020822052884613,-0.9656647064821923,-2.002618017751447
0.98,-0.5479464962971117,-3.888568037835242,-1.0019209505239677,-1.6269508832124384
1.0,-0.6263485398347782,-3.9468004775668923,-1.030928220916273,-1.279139117081635
1.02,-0.7056175228035609,-3.97484975624052,-1.0533316428197224,-0.9681117111954477
1.04,-0.7851221298803092,-3.969825919741917,-1.0699600909078368,-0.7031688981549771
1.06,-0.8641684862213657,-3.928518691962316,-1.0818225165213338,-0.4927539884376116
1.08,-0.942004787019317,-3.8485739133056893,-1.0900730410565331,-0.34259862888299913
1.1,-1.0178522275904307,-3.7298545067473206,-1.0959366776725357,-0.2537778750307479
1.12,-1.0909594729840983,-3.575312283414459,-1.1006033128047341,-0.22165386508800847
1.1400000000000001,-1.1606645765602166,-3.3908076593110703,-1.1051165301868875,-0.23648306389015897
1.16,-1.2264425820252762,-3.183928047405736,-1.1102908454283964,-0.2855338535186822
1.18,-1.2879246172587073,-2.962449772381142,-1.1166782051745638,-0.3556919914566472
1.2,-1.3448887195073567,-2.7331388029416233,-1.1245821405474368,-0.4354836986418169
1.22,-1.397232926694677,-2.501186874136895,-1.1341021895847103,-0.5160641205426211
1.24,-1.444942818977198,-2.2701835260708614,-1.1451887228115674,-0.5913263648488573
1.26,-1.4880617889687908,-2.0423750039954705,-1.157694384133172,-0.6575199934168634
1.28,-1.5266675417008888,-1.8190018106991892,-1.1714158838858937,-0.712710830283131
1.3,-1.560855122764847,-1.6006025134266493,-1.1861250733324256,-0.7562692940383986
1.32,-1.5907253267206152,-1.3872459028006074,-1.201590733821072,-0.7884586529688473
1.34,-1.6163770248544858,-1.1786927020308322,-1.2175932256837263,-0.8101310512141976
1.36,-1.6379021468343582,-0.9745019579080518,-1.233933996945398,-0.822514036845864
1.3800000000000001,-1.65538237540427,-0.7740989566305204,-1.2504415418583572,-0.8270646710020855
1.4000000000000001,-1.6688869361772647,-0.5768184531034876,-1.266974938910306,-0.8253708195923204
1.42,-1.6784710924164772,-0.38193339484661337,-1.2834257476716247,-0.819083435130494
1.44,-1.6841751313421096,-0.18867652216064157,-1.2997187562334664,-0.8098671857844248
1.46,-1.686023756519908,0.0037399035655327206,-1.3158118405805468,-0.7993596618915322
1.48,-1.6840258925587017,0.1961018443728832,-1.3316950234028937,-0.7891306108243059
1.5,-1.678174996499126,0.38916452278589664,-1.3473886467988367,-0.7806330463688224
1.52,-1.6684500517839478,0.5836121314325585,-1.3629404177108706,-0.7751375797073057
1.54,-1.654817525272515,0.7800009915044769,-1.3784208933505753,-0.7736406548048216
1.56,-1.6372346726724836,0.9786806122619982,-1.3939167914134316,-0.776737213745173
1.58,-1.615654682431752,1.17968831274629,-1.409521333502919,-0.7844505652623353
1.6,-1.5900341956873327,1.3826179323921906,-1.4253207498789935,-0.79602010911313
1.62,-1.5603436283167051,1.5864737743560033,-1.4413762456166288,-0.8096641545476362
1.6400000000000001,-1.5265803284367025,1.7895404193664213,-1.4577013349623518,-0.8223652413281166
1.6600000000000001,-1.4887837412303906,1.989323490271056,-1.4742357837386244,-0.8297631300694343
1.68,-1.447050437754033,2.1826347907434687,-1.4908194397910868,-0.8262699936012592
1.7,-1.4015454611767386,2.3658816956047803,-1.5071714510151184,-0.8055049348732305
1.72,-1.3525058214991892,2.5355529258998315,-1.5228814886166295,-0.7610471485910955
1.74,-1.3002332016896319,2.688783063895507,-1.537417996330597,-0.687344707762447
1.76,-1.2450762438117915,2.82379392137692,-1.5501537766720972,-0.5804863055675521
1.78,-1.187406821430008,2.9400334163134683,-1.5604032732315072,-0.43856606601003434
1.8,-1.1275970671027533,3.0379684358235273,-1.567462202259201,-0.2615609438639065
1.82,-1.0660031744861838,3.1186419317115037,-1.5706409028888728,-0.05086218891554048
1.84,-1.002958929622929,3.1831723873504116,-1.5692868950365555,0.1912942891409013
1.86,-0.9387785705599014,3.2323382582166666,-1.5627967934042322,0.46229928919880064
1.8800000000000001,-0.8737665284307738,3.266309924275011,-1.5506205763955858,0.7594577884137894
1.9000000000000001,-0.8082310456791525,3.28452566802802,-1.5322618982640908,1.0801051532541708
1.92,-0.7424990961548738,3.28567940422214,-1.5072773052587467,1.421612074421936
1.94,-0.6769307224225027,3.267786383885422,-1.4752758948922942,1.7813458211274011
1.96,-0.6119314875212901,3.228302852118346,-1.435919707366229,2.156643734096749
1.98,-0.5479621188264965,3.164285597141074,-1.3889241880160932,2.544837790601774
2.0,-0.48554463345798315,3.0725829497267894,-1.3340574480010154,2.943352382724252
2.02,-0.4252643836420651,2.950050864869204,-1.2711367820424273,3.349880086206623
2.04,-0.3677675703646787,2.7937896584732487,-1.2000210000300435,3.7626200433634467
2.06,-0.31375379570842227,2.6014054382380483,-1.1205976983451087,4.180535060711711
2.08,-0.2639629276590862,2.371326244042945,-1.0327658965590096,4.603537599311423
2.1,-0.21915440258647337,2.1032656348278693,-0.936417025189434,5.032429032741292
2.12,-0.1800740878548649,1.799056477895649,-0.8314222354055079,5.468250355012855
2.14,-0.1473971906720862,1.464314396685058,-0.7176436924136019,5.910388832045972
2.16,-0.12162343207683185,1.111695411259618,-0.5950049970745704,6.352341093324413
2.18,-0.10288474976470491,0.7664194295069328,-0.4636799148623812,6.774018076170461
2.2,-0.09062906082925422,0.47244358461032815,-0.32446110819200086,7.132267610755501
2.22,-0.08323866845212412,0.2905773784550915,-0.17925518009000163,7.3606462334023695
2.24,-0.077888762907122,0.27467358333555125,-0.031327003588797364,7.397129138819702
2.2600000000000002,-0.07106831502854598,0.43433318354706035,0.11525955495938368,7.230327784181873
2.2800000000000002,-0.05962415998344364,0.7270655480457188,0.2568535045429297,6.909238752262509
2.3000000000000003,-0.04151543840577669,1.0908415739277681,0.39106270577442187,6.5024416950890025
2.32,-0.015857339899234976,1.4752860978385056,0.516723614264649,6.0606253889318
2.34,0.01742442740490695,1.8494787908060668,0.6334297349932488,5.609565198750334
2.36,0.057942725233814524,2.1970830002801565,0.741107652720877,5.1584767092357655
2.38,0.10507761058075298,2.510315005131695,0.8397786801523948,4.708799262419846
2.4,0.15810497462855796,2.7860790633767536,0.9294621015553397,4.259502192970536
2.42,0.21626778495911547,3.023948511837741,1.0101545714207187,3.8096127679769998
2.44,0.2788182877372277,3.2251601356080077,1.0818426762849103,3.3591744579675975
2.46,0.3450452792659301,3.3920587449281245,1.1445259572633912,2.9094328758374703
2.48,0.4142921947702894,3.5277027807954617,1.198239791313867,2.462688219262486
2.5,0.4859677739710846,3.635503760186284,1.2430740874295931,2.0220537181709015
2.52,0.5595494180243954,3.718851616599676,1.2791874190785852,1.5912585686615104
2.54,0.6345787704150773,3.780710605574405,1.3068183940481037,1.174578911126052
2.56,0.7106488938846941,3.823183355021004,1.3262973068366537,0.7769390171363006
2.58,0.7873824962916921,3.8470564036095913,1.3380615157838152,0.4041754403185115
2.6,0.8644012971125821,3.851384271818128,1.3426770503408614,0.06337014942314327
2.62,0.9412886083750535,3.833262580994753,1.3408657206909627,-0.2369881075599852
2.64,1.0175515175248597,3.788072203815577,1.3335303151129225,-0.4874407808264067
2.66,1.0925955503002276,3.710530615069683,1.3217608883847196,-0.6790797778313377
2.68,1.1657294949052548,3.5966210694300886,1.306798465856272,-0.8062289524065847
2.7,1.2362130096296589,3.4457657689653045,1.289940353450605,-0.8693454452986293
2.72,1.3033396476187924,3.2619723058280012,1.2724003203158885,-0.876316956851272
2.74,1.3665240719370195,3.053056596470014,1.2551705956561932,-0.840925971835045
2.7600000000000002,1.4253572038352476,2.8284059530264187,1.23893823377292,-0.7792414519443241
2.7800000000000002,1.4796136402992028,2.5966818826676215,1.2240770124077751,-0.7060262415754075
2.8000000000000003,1.529221915564826,2.364493788714043,1.2106972586560818,-0.6326695518134282
2.82,1.574219383176497,2.136139017837318,1.1987198242787156,-0.5667648010218076
2.84,1.6147090235605577,1.9139703111074644,1.18794744397368,-0.5126645642570336
2.86,1.650826039400719,1.698948908645387,1.1781210513540035,-0.4723407080214646
2.88,1.6827151859333715,1.4911412134917996,1.1689592126799229,-0.4461749081260579
2.9,1.7105167491946984,1.2900833698137055,1.1601836211310756,-0.43355514241408116
2.92,1.7343585191358708,1.0950207094210131,1.1515346330923861,-0.4332808207282602
2.94,1.7543515631615607,0.9050540500181881,1.1427802594017227,-0.4438202525199869
2.96,1.770588263520015,0.7192244216889475,1.1337210948776961,-0.4634662144049484
2.98,1.7831416379624498,0.5365599436306739,1.1241928491282738,-0.4904252699102278
3.0,1.7920653565963212,0.3561006120610859,1.1140675399613718,-0.5228654725056568
3.02,1.7973941184587734,0.1769107025035121,1.103254009916632,-0.5589384391142518
3.04,1.7991442018081127,-0.0019155625413679045,1.0916981698275647,-0.5967859000615584
3.06,1.79731408751311,-0.1812520164383651,1.079383211671965,-0.6345370467913165
3.08,1.7918850990911606,-0.36194076011107545,1.0663299314712524,-0.67030066765626
3.1,1.7828220207520205,-0.54479406625236,1.0525972393878618,-0.7021547414384519
3.12,1.7700736604611436,-0.7305980756922799,1.038282886558776,-0.7281353701819852
3.14,1.7535733178688055,-0.9201186567120785,1.0235244065965645,-0.7462266997159448
3.16,1.7332391097234017,-1.1141098847324347,1.0085002344986818,-0.7543535426725182
3.18,1.7089740970994278,-1.3133253678809826,0.9934309282159045,-0.7503789563525589
3.2,1.6806661606343885,-1.5185319555934484,0.9785803619223712,-0.7321102051004652
3.22,1.6481875923307134,-1.7305238544211392,0.9642566711349803,-0.6973188520335681
3.24,1.6113944386823205,-1.9501321842858008,0.9508125757862464,-0.6437850835021252
3.2600000000000002,1.5701257800833475,-2.1782193468783193,0.9386444326132818,-0.5693844374195622
3.2800000000000002,1.5242034359715317,-2.415637284844122,0.9281888750817279,-0.472249602315435
3.3000000000000003,1.4734331749574696,-2.663110478971568,0.9199150063494759,-0.35106534594489847
3.3200000000000003,1.41760954731448,-2.920975804523344,0.9143086001947273,-0.2055939673203191
3.34,1.3565282265602419,-3.188670655047395,0.9118422643289683,-0.03758236881397752
3.36,1.2900122608240525,-3.463829982927143,0.9129221034067273,0.14776456928193968
3.38,1.2179611720425172,-3.7409048048373577,0.9177982741837811,0.33965586235958894
3.4,1.1404310520857892,-4.009532284564458,0.9264290423298057,0.5193354961361086
3.42,1.0577420681111047,-4.253687797613115,0.9383067163848461,0.6590490815455542
3.44,0.9705789045239632,-4.453605028061516,0.9523007258583666,0.7253344169348136
3.46,0.8800117531356667,-4.5917847547793,0.9666293774615512,0.6885656905652495
3.48,0.7873739389837775,-4.66045210066311,0.9790582965341048,0.5347762671545091
3.5,0.6940274356823154,-4.664335370588915,0.9872809823366802,0.27057649559344726
3.52,0.6011470585570975,-4.616256103097606,0.9892861557276181,-0.08278194726223279
3.54,0.5096310172567876,-4.529961338159329,0.9835456341961141,-0.49987704839688885
3.56,0.4201357653878023,-4.415420883793852,0.9690161371151668,-0.9584041761152392
3.58,0.3331678960348595,-4.27768790844637,0.945046941806956,-1.4414725993079631
3.6,0.24917539155183888,-4.1177988299551185,0.9112748914333924,-1.9370064360143058
3.62,0.16861359896765862,-3.9342204851551403,0.8675414506046463,-2.4364034117919813
3.64,0.09198310282807654,-3.72415482259618,0.813834702326293,-2.933467844243166
3.66,0.019844508159264584,-3.484540330098822,0.7502477316968146,-3.4238370377244753
3.68,-0.047184037310616905,-3.2127897744313074,0.6769443796045326,-3.904786298654107
3.7,-0.10844220536322259,-2.907359182493824,0.5941269184993446,-4.375190336496918
3.72,-0.16325360568083686,-2.56828279934972,0.5020051742642647,-4.8353645616548215
3.74,-0.21096404638373198,-2.197901487260845,0.400773035326914,-5.286410996996352
3.7600000000000002,-0.2509994693983571,-1.802188626571002,0.29060758147750104,-5.728489000776937
3.7800000000000002,-0.28296144462772355,-1.3932967359155202,0.17172061289871385,-6.157138365260386
3.8000000000000003,-0.30679068703233087,-0.9938330506669452,0.04451063190156494,-6.556850485147946
3.8200000000000003,-0.3230261710996624,-0.641620357741225,-0.09013630067053341,-6.8932416320722485
3.84,-0.3331162614901785,-0.38846700577870846,-0.23043610375382617,-7.112110930241482
3.86,-0.33955236058709876,-0.28219920142794785,-0.3734713805159193,-7.159974668545998
3.88,-0.3454832168152982,-0.3360768003488405,-0.5155832701971984,-7.022065086013637
